team,pick_year,round,expected_pick_number,protection_note
Denver Nuggets,2026,2,,"More favorable of DEN and GOS to CHA then other to CHI (via DEN to PHX to CHA; via GOS to ATL to OKC to NYK to CHA; via CHA to PHX to MIN to CHI); Less favorable of ATL and less favorable of LAC and most favorable of BOS, IND and MIA (via ATL to GOS to BRK; via LAC to HOU to BRK; via BRK to DEN)"
Denver Nuggets,2027,1,,"1-5 Own; two most / more favorable of DEN 6-30, OKC and LAC to OKC then other to LAC (via OKC swap of OKC or DEN for LAC)"
Denver Nuggets,2027,2,,To UTH (via CLE to CHI to BOS)
Denver Nuggets,2028,1,,1-5 Own; 6-30 to OKC if not already settled
Denver Nuggets,2028,2,,31-33 Own; 34-60 to WAS (via SAN to SAC)
Denver Nuggets,2029,1,,1-5 Own; 6-30 to OKC if not already settled
Denver Nuggets,2029,2,,To CHA if DEN has conveyed a first potential 1st round pick to OKC by 2029 or to OKC if DEN has not
Denver Nuggets,2030,1,,1-5 Own; 6-30 to OKC if not already settled and if DEN has conveyed a first potential 1st round pick to OKC by 2028
Denver Nuggets,2030,2,,To OKC (direct or via CHA)
Denver Nuggets,2031,1,,Own
Denver Nuggets,2031,2,,To CHI (via PHX to CHA)
Denver Nuggets,2032,1,,To BRK
Denver Nuggets,2032,2,,To BRK
Detroit Pistons,2026,1,,Own or swap for MIN 20-30
Detroit Pistons,2026,2,,"Most favorable of DET, ORL and MIL to BOS; second most favorable to ORL and least favorable to NOP (via MIL to ORL; via DET to LAC to ORL); CHA 56-60 (via NYK to ATL to SAN to SAC)"
Detroit Pistons,2027,1,,Own
Detroit Pistons,2027,2,,Own; Less favorable of BRK and DAL (via DAL to BRK to DET); MIL (via PHL)
Detroit Pistons,2028,1,,Own
Detroit Pistons,2028,2,,31-55 Own*; 56-60 to PHL; Less favorable of CHA and LAC*; MIA* if DAL conveys 1st round pick to CHA in 2027; NYK* (*Least favorable of these to UTH)
Detroit Pistons,2029,1,,Own
Detroit Pistons,2029,2,,"Two most favorable of DET, MIL and NYK then other to CHI (via MIL to BRK to DET; via NYK to DET; via SAC to CHI)"
Detroit Pistons,2030,1,,Own
Detroit Pistons,2030,2,,Own; MIN
Detroit Pistons,2031,1,,Own
Detroit Pistons,2031,2,,Own; DAL (via PHL); Less favorable of GOS and MIN (via MIN swap for GOS)
Detroit Pistons,2032,1,,Own
Detroit Pistons,2032,2,,Own
Golden State Warriors,2026,1,,Own
Golden State Warriors,2026,2,,More favorable of GOS and DEN to CHA then other to CHI; LAL (via CLE to MIA to TOR)
Golden State Warriors,2027,1,,Own
Golden State Warriors,2027,2,,More favorable of GOS and PHX to PHL then other to WAS (via WAS)
Golden State Warriors,2028,1,,Own
Golden State Warriors,2028,2,,To PHL (via POR to WAS)
Golden State Warriors,2029,1,,Own
Golden State Warriors,2029,2,,To BRK
Golden State Warriors,2030,1,,1-20 Own; 21-30 to DAL (via WAS)
Golden State Warriors,2030,2,,To DAL if GOS does not convey 1st round pick to DAL in 2030 (via WAS)
Golden State Warriors,2031,1,,Own
Golden State Warriors,2031,2,,More favorable of GOS and MIN to CHI then other to DET (via MIN swap for GOS)
Golden State Warriors,2032,1,,Own
Golden State Warriors,2032,2,,31-50 Own; 51-60 to MEM
Houston Rockets,2026,1,,"1-4 Own; most favorable of HOU 5-30, LAC and OKC to OKC; second most / more favorable to PHL and least / less favorable to DAL (via OKC to PHL to WAS to DAL)"
Houston Rockets,2026,2,,To OKC if HOU 1-4 in 2026; CHI (via WAS)
Houston Rockets,2027,1,,Own or swap for BRK; PHX (via BRK)
Houston Rockets,2027,2,,"Most favorable of HOU, OKC, IND and MIA to PHL; second most favorable to NOP and third most favorable to NYK; more favorable of SAN and least favorable of HOU, OKC, IND and MIA to SAN then least favorable of all to MIA; MEM (via LAC); Less favorable of POR and NOP if 56-60"
Houston Rockets,2028,1,,Own
Houston Rockets,2028,2,,Own (via ATL)
Houston Rockets,2029,1,,"Two most favorable of HOU, DAL and PHX then other to BRK (via DAL and PHX to BRK; via HOU swap for DAL or PHX)"
Houston Rockets,2029,2,,To DAL (via OKC to WAS); SAC (via WAS)
Houston Rockets,2030,1,,Own
Houston Rockets,2030,2,,To OKC
Houston Rockets,2031,1,,Own
Houston Rockets,2031,2,,31-55 Own or ATL (via ATL swap for HOU); 56-60 to BOS
Houston Rockets,2032,1,,Own
Houston Rockets,2032,2,,More favorable of HOU and PHX to CHI then other to PHX (via PHX to MIN)
Indiana Pacers,2026,1,,1-4 and 10-30 Own; 5-9 to LAC
Indiana Pacers,2026,2,,More favorable of SAN and less favorable of IND and MIA to SAN then least favorable of all to MIN; Less favorable of BOS and more favorable of IND and MIA to ATL then most favorable of all to MEM or to BRK (via MIA to IND; via SAN swap for IND or MIA; via MIL to MEM; via BOS to ATL); TOR 56-60
Indiana Pacers,2027,1,,Own
Indiana Pacers,2027,2,,"Most favorable of IND, OKC, HOU and MIA to PHL; second most favorable to NOP and third most favorable to NYK; more favorable of SAN and least favorable of IND, OKC, HOU and MIA to SAN then least favorable of all to MIA; UTH (via CLE)"
Indiana Pacers,2028,1,,Own
Indiana Pacers,2028,2,,More favorable of IND and PHX then other to NYK (via IND)
Indiana Pacers,2029,1,,To LAC
