team,pick_year,round,expected_pick_number,protection_note,strength_rank,ev_points,years_out,discount_factor,pv_ev_points
Dallas Mavericks,2032,2,36,Own,6,15.714285714285714,6,0.5644739300537772,8.870304615130784
Denver Nuggets,2026,1,21,Own,21,24.444444444444443,0,1.0,24.444444444444443
Denver Nuggets,2026,2,51,"More favorable of DEN and GOS to CHA then other to CHI (via DEN to PHX to CHA; via GOS to ATL to OKC to NYK to CHA; via CHA to PHX to MIN to CHI); Less favorable of ATL and less favorable of LAC and most favorable of BOS, IND and MIA (via ATL to GOS to BRK; via LAC to HOU to BRK; via BRK to DEN)",21,11.578947368421053,0,1.0,11.578947368421053
Denver Nuggets,2027,1,21,"1-5 Own; two most / more favorable of DEN 6-30, OKC and LAC to OKC then other to LAC (via OKC swap of OKC or DEN for LAC)",21,24.444444444444443,1,0.9090909090909091,22.22222222222222
Denver Nuggets,2027,2,51,To UTH (via CLE to CHI to BOS),21,11.578947368421053,1,0.9090909090909091,10.526315789473685
Denver Nuggets,2028,1,21,1-5 Own; 6-30 to OKC if not already settled,21,24.444444444444443,2,0.8264462809917354,20.202020202020197
Denver Nuggets,2028,2,51,31-33 Own; 34-60 to WAS (via SAN to SAC),21,11.578947368421053,2,0.8264462809917354,9.569377990430622
Denver Nuggets,2029,1,21,1-5 Own; 6-30 to OKC if not already settled,21,24.444444444444443,3,0.7513148009015775,18.36547291092745
Denver Nuggets,2029,2,51,To CHA if DEN has conveyed a first potential 1st round pick to OKC by 2029 or to OKC if DEN has not,21,11.578947368421053,3,0.7513148009015775,8.699434536755108
Denver Nuggets,2030,1,21,1-5 Own; 6-30 to OKC if not already settled and if DEN has conveyed a first potential 1st round pick to OKC by 2028,21,24.444444444444443,4,0.6830134553650705,16.6958844644795
Denver Nuggets,2030,2,51,To OKC (direct or via CHA),21,11.578947368421053,4,0.6830134553650705,7.908576851595554
Denver Nuggets,2031,1,21,Own,21,24.444444444444443,5,0.6209213230591549,15.178076785890452
Denver Nuggets,2031,2,51,To CHI (via PHX to CHA),21,11.578947368421053,5,0.6209213230591549,7.1896153196323205
Denver Nuggets,2032,1,21,To BRK,21,24.444444444444443,6,0.5644739300537772,13.798251623536775
Denver Nuggets,2032,2,51,To BRK,21,11.578947368421053,6,0.5644739300537772,6.536013926938473
Detroit Pistons,2026,1,16,Own or swap for MIN 20-30,16,30.0,0,1.0,30.0
